% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.9235	1	0	8	8	192	4	1	1	3	15	1	0	0	260
1.9245	1	0	3	3	192	5	1	1	1	15	1	0	11	538
1.9325	1	0	9	9	193	3	1	1	1	15	1	0	4	216
1.9635	1	0	2	2	196	4	1	1	1	15	1	0	26	1862
1.9665	1	0	6	6	196	7	1	1	3	15	1	0	0	260
1.9675	1	0	7	7	196	8	1	1	2	15	1	0	2	274
1.9725	1	0	4	4	197	3	1	1	1	15	1	0	26	1862
1.9755	1	0	5	5	197	6	1	1	2	15	1	0	0	172
1.9785	1	0	10	10	197	9	1	1	1	15	1	0	4	216
1.9805	1	0	1	1	198	1	1	1	1	15	1	0	26	1862
1.9855	1	0	9	9	198	6	1	1	1	15	1	0	6	318
1.9975	1	0	3	3	199	8	1	1	1	15	1	0	20	1203
1.9985	1	0	8	8	199	9	1	1	3	15	1	0	0	260
2.0245	1	0	7	7	202	5	1	1	1	15	1	0	6	318
2.03	1	0	10	10	203	1	0	1	1	15	1	0	2	135
2.03	1	0	5	5	203	1	0	2	2	15	1	0	0	172
2.0305	1	0	6	6	203	1	1	1	2	15	1	0	0	172
2.0315	1	0	4	4	203	2	1	1	1	15	1	0	24	1642
2.0315	1	0	2	2	203	2	1	2	1	15	1	0	26	1862
2.0335	1	0	1	1	203	4	1	1	1	15	1	0	26	1862
2.0505	1	0	9	9	205	1	1	1	1	15	1	0	6	318
2.0535	1	0	3	3	205	4	1	1	1	15	1	0	18	1006
2.059	1	0	8	8	206	0	0	1	2	15	1	0	0	172
2.0775	1	0	7	7	207	8	1	1	1	15	1	0	8	428
2.0865	1	0	10	10	208	7	1	1	2	15	1	0	0	172
2.0895	1	0	6	6	209	0	1	1	3	15	1	0	0	260
2.0895	1	0	2	2	209	0	1	4	1	15	1	0	26	1862
2.0915	1	0	4	4	209	2	1	1	1	15	1	0	28	2037
2.0915	1	0	1	1	209	2	1	2	1	15	1	0	26	1862
2.0965	1	0	5	5	209	7	1	1	3	15	1	0	0	260
2.1055	1	0	9	9	210	6	1	1	1	15	1	0	11	538
2.1065	1	0	3	3	210	7	1	1	1	15	1	0	18	1006
2.1165	1	0	8	8	211	7	1	1	3	15	1	0	0	260
2.1275	1	0	7	7	212	8	1	1	1	15	1	0	8	428
2.1375	1	0	10	10	213	8	1	1	2	15	1	0	0	172
