Time	CellId	RNTI	BWPId	SINR(dB)
0.145607	1	3	0	7.98534
0.145643	1	2	0	34.0811
0.145679	1	1	0	29.821
0.146571	1	4	0	16.4827
0.146607	1	3	0	8.09568
0.146643	1	2	0	34.48
0.146679	1	1	0	29.7495
0.147571	1	4	0	16.3993
0.147607	1	3	0	7.84811
0.147643	1	2	0	34.9367
0.147679	1	1	0	29.7122
0.148464	1	1	0	29.1941
0.148571	1	4	0	17.5024
0.148607	1	3	0	8.09411
0.148643	1	2	0	34.8791
0.148679	1	1	0	29.6517
0.149571	1	4	0	16.0993
0.149607	1	3	0	8.12246
0.149643	1	2	0	34.9473
0.149679	1	1	0	29.6426
0.150571	1	4	0	16.3668
0.150607	1	3	0	8.22248
0.150643	1	2	0	34.9323
0.150679	1	1	0	29.6337
0.151571	1	4	0	15.2904
0.151607	1	3	0	8.15292
0.151643	1	2	0	34.4979
0.151679	1	1	0	29.6409
0.152571	1	4	0	18.488
0.152607	1	3	0	8.0235
0.152643	1	2	0	33.7198
0.152679	1	1	0	29.7033
0.153571	1	4	0	17.2689
0.153607	1	3	0	7.80496
0.153643	1	2	0	33.1728
0.153679	1	1	0	29.7394
0.154571	1	4	0	16.1904
0.154607	1	3	0	7.56026
0.154643	1	2	0	32.7873
0.154679	1	1	0	29.7114
0.155571	1	4	0	17.845
0.155607	1	3	0	7.52545
0.155643	1	2	0	32.3254
0.155679	1	1	0	29.7489
0.156571	1	4	0	17.1295
0.156607	1	3	0	7.5798
0.156643	1	2	0	32.4787
0.156679	1	1	0	29.805
0.157571	1	4	0	15.8601
0.157607	1	3	0	7.76623
0.157643	1	2	0	33.021
0.157679	1	1	0	29.8363
0.158464	1	1	0	27.4054
0.158571	1	4	0	19.3298
0.158607	1	3	0	8.06104
0.158643	1	2	0	33.867
0.158679	1	1	0	29.8774
0.159464	1	4	0	18.9044
0.159571	1	4	0	18.0807
0.159607	1	3	0	8.13424
0.159643	1	2	0	34.2488
0.159679	1	1	0	29.9052
0.160571	1	4	0	14.9329
0.160607	1	3	0	7.99986
0.160643	1	2	0	34.6642
0.160679	1	1	0	29.9866
0.161571	1	4	0	14.0815
0.161607	1	3	0	7.89635
0.161643	1	2	0	34.7767
0.161679	1	1	0	29.9576
0.162571	1	4	0	18.1138
0.162607	1	3	0	8.12169
0.162643	1	2	0	34.5197
0.162679	1	1	0	29.8534
0.163571	1	4	0	16.3469
0.163607	1	3	0	8.01371
0.163643	1	2	0	34.1402
0.163679	1	1	0	29.8091
0.164464	1	4	0	13.4739
0.164571	1	4	0	17.9426
0.164607	1	3	0	8.06422
0.164643	1	2	0	34.1748
0.164679	1	1	0	29.8818
0.165571	1	4	0	14.5958
0.165607	1	3	0	8.0803
0.165643	1	2	0	34.1126
0.165679	1	1	0	29.948
0.166571	1	4	0	15.1123
0.166607	1	3	0	8.15014
0.166643	1	2	0	33.976
0.166679	1	1	0	29.8585
0.167571	1	4	0	13.5705
0.167607	1	3	0	8.30491
0.167643	1	2	0	34.4527
0.167679	1	1	0	29.8176
0.168464	1	4	0	7.25028
0.168571	1	4	0	17.732
0.168607	1	3	0	8.13907
0.168643	1	2	0	35.1948
0.168679	1	1	0	29.8319
0.169464	1	1	0	28.7253
0.169571	1	4	0	14.6126
0.169607	1	3	0	7.97202
0.169643	1	2	0	35.4028
0.169679	1	1	0	29.8295
0.170464	1	3	0	4.29683
0.170571	1	4	0	12.9337
0.170607	1	3	0	8.08637
0.170643	1	2	0	35.414
0.170679	1	1	0	29.8177
0.171571	1	4	0	11.8694
0.171607	1	3	0	8.03047
0.171643	1	2	0	35.4104
0.171679	1	1	0	29.7979
0.172571	1	4	0	16.3003
0.172607	1	3	0	8.30359
0.172643	1	2	0	35.0497
0.172679	1	1	0	29.8409
0.173429	1	4	0	10.5368
0.173571	1	4	0	13.0427
0.173607	1	3	0	8.37271
0.173643	1	2	0	34.2892
0.173679	1	1	0	29.8383
